ref_source,ref_drone,flight_id,test_drone,drone_cond,lap_selection,n_laps,smooth_w,test_lap,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,5,9,3,2509,25.217001914978027,1.7167759288897173,7.165220952644124,0.005978477481068154
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,5,9,4,2597,26.059934854507446,1.433542693562174,5.684738916540005,0.011551790527531768
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,5,9,5,2477,24.85981011390686,1.845726616662688,6.393354199945555,0.0
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,5,15,3,2509,25.217001914978027,1.8690612666289326,7.875305697565581,0.027500996412913512
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,5,15,4,2597,26.059934854507446,1.8440769110952289,6.60789633766418,0.02464381979206777
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,5,15,5,2477,24.85981011390686,1.9148054654689872,6.805098460076267,0.0
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,1,1,3,2509,25.217001914978027,2.43633575019949,8.930583934296793,0.022319649262654444
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,1,1,4,2597,26.059934854507446,1.8530158553149363,6.593112828648038,0.02117828263380824
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,1,1,5,2477,24.85981011390686,2.8790494212818487,10.99764943966527,0.07912797739200646
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,1,3,3,2509,25.217001914978027,2.5430346552629857,9.240330569051324,0.03587086488640893
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,1,3,4,2597,26.059934854507446,1.98281181525482,6.417027248175339,0.016557566422795534
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,1,3,5,2477,24.85981011390686,2.907288370994621,13.531070629896758,0.09245054501413
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,1,5,3,2509,25.217001914978027,2.4821187965696367,9.032680791869465,0.02869669190912714
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,1,5,4,2597,26.059934854507446,1.9546308364466825,6.823515835444549,0.016557566422795534
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,1,5,5,2477,24.85981011390686,2.6996242228986347,12.575037947247578,0.09002825999192572
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,1,9,3,2509,25.217001914978027,2.6220544174497036,8.513020911862986,0.010362694300518135
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,1,9,4,2597,26.059934854507446,2.080695701023984,6.075750460315465,0.016557566422795534
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,1,9,5,2477,24.85981011390686,2.9937339521831206,15.136765249970574,0.1005248284214776
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,1,15,3,2509,25.217001914978027,2.873843920604166,8.672583579240191,0.01634117178158629
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,1,15,4,2597,26.059934854507446,2.2547825343691414,6.887264840064819,0.016942626107046593
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,1,15,5,2477,24.85981011390686,3.1333376207809494,12.420590295444951,0.08235769075494549
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,3,1,3,2509,25.217001914978027,1.6684165738495267,7.157968045270559,0.0031885213232363493
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,3,1,4,2597,26.059934854507446,1.393303900435484,5.564292248771464,0.013092029264536002
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,3,1,5,2477,24.85981011390686,2.298917758369214,6.9136160374333,0.010092854259184497
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,3,3,3,2509,25.217001914978027,1.6710773321228487,7.094799063704005,0.0011956954962136308
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,3,3,4,2597,26.059934854507446,1.4725544958139665,5.377636464570294,0.013092029264536002
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,3,3,5,2477,24.85981011390686,2.287760992212114,6.939332654774569,0.014533710133225677
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,3,5,3,2509,25.217001914978027,1.8059985315881448,8.129861868526799,0.031486648066958944
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,3,5,4,2597,26.059934854507446,1.579465710803703,5.635364614257456,0.013092029264536002
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,3,5,5,2477,24.85981011390686,2.0674753855556673,7.152555579712313,0.008881711748082357
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,3,9,3,2509,25.217001914978027,1.78661588857139,7.2589411098529535,0.016739736946990835
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,3,9,4,2597,26.059934854507446,1.5906612954574086,6.67990569299798,0.029649595687331536
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,3,9,5,2477,24.85981011390686,2.325954992420833,7.309526852069125,0.006863140896245458
MT_ref,MadTrainer,2,MadTrainer,same_drone,manual_best,3,15,3,2509,25.217001914978027,2.0082795903787343,7.727415814085533,0.021123953766440814
